status,nces_unitid,school_id,school_name,details
updated,220516,1,King University,"institution_control,institution_level"
updated,232557,2,Liberty University,"institution_control,institution_level"
updated,18409201,3,American University,"institution_control,locale"
updated,197869,4,Appalachian State University,"institution_control,institution_level"
updated,231624,5,College of William and Mary,"institution_control,institution_level"
updated,198419,6,Duke University,"institution_control,institution_level"
updated,232186,7,George Mason University,"institution_control,institution_level"
updated,156745,8,Georgetown University,"institution_control,institution_level"
updated,232423,9,James Madison University,"institution_control,institution_level"
updated,162928,10,Johns Hopkins University,"institution_control,institution_level"
updated,199023,11,Montgomery College,"institution_control,institution_level,locale"
updated,163462,12,Mount St. Mary's University,"institution_control,institution_level,locale"
updated,199193,13,North Carolina State University at Raleigh,"institution_control,institution_level"
updated,207388,14,Oklahoma State University,"institution_control,institution_level"
updated,233426,15,Roanoke College,"institution_control,institution_level"
updated,199582,16,Saint Augustines University,"institution_control,institution_level"
updated,434672,17,University of Maryland-Baltimore County,"institution_control,institution_level"
updated,163295,18,University of Maryland-College Park,"institution_control,institution_level"
updated,199120,19,University of North Carolina at Chapel Hill,"institution_control,institution_level"
updated,234155,20,University of Virginia,"institution_control,institution_level"
updated,164155,21,US Naval Academy,"institution_control,institution_level"
updated,234030,22,Virginia Commonwealth University,"institution_control,institution_level"
updated,233921,23,Virginia Polytechnic University,"institution_control,institution_level"
updated,199847,24,Wake Forest University,"institution_control,institution_level,locale"
updated,238032,25,West Virginia University,"institution_control,institution_level"
