school_id,nces_unitid,school_name,school_website,cycling_website,research_status,evidence_url,evidence_date,evidence_snippet,discipline_evidence_text,road,mtb_xc,mtb_st,mtb_enduro,mtb_downhill,mtb_slalom,cyclocross,cycling_program_status,head_coach,contact_email,researcher,notes
35,127820,Pikes Peak Community College,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for Pikes Peak Community College did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,larry.giddings@Icloud.com,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
36,167598,Regis University,,,researched,https://www.regis.edu/life-at-regis/student-wellbeing/recreation-center/recreational-sports/,2026-02-25,Regis Recreational Sports lists Cycling as a current club sport.,cycling club,,,,,,,,unknown,,jwink@regis.edu,ChatGPT-thinking-batch3,Club confirmed on official school page; no explicit dated 2025 race results found in this pass.
37,126614,University of Colorado Boulder,,,researched,https://calendar.colorado.edu/event/cycling-informational-meeting; https://www.colorado.edu/sportclubs/co-ed-sports/cycling/cycling-join-our-team,2025-08-26,"CU Boulder held a Cycling informational meeting on Aug 26, 2025 and club page describes active race participation.",road cyclocross mountain bike bmx racing,yes,yes,,,,,yes,active,,cycling@colorado.edu,ChatGPT-thinking-batch3,Official 2025 student-life event confirms active club operations.
38,126827,University of Colorado Colorado Springs,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for University of Colorado Colorado Springs did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,wmoorman@uccs.edu,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
39,126562,University of Colorado Denver,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for University of Colorado Denver did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,brett.lagerblade@ucdenver.edu,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
40,127060,University of Denver,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for University of Denver did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,clubimsports@du.edu,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
41,127741,University of Northern Colorado,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for University of Northern Colorado did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,brett.ford@unco.edu,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
42,240727,University of Wyoming,,,researched,https://www.uwyo.edu/rec/club-sports/cycling.html; https://give.uwyo.edu/schools/UniversityofWyoming/giving-day-2025/pages/club-sports/club-cycling,2025-10-24,UW Club Cycling page describes RMCCC racing across MTB disciplines and UW Giving Day 2025 page supports active team fundraising.,mountain bike downhill short track dual slalom cross country,,yes,yes,,yes,yes,,active,,clubsports@uwyo.edu,ChatGPT-thinking-batch3,Team activity evidenced by official club description and 2025 campaign page.
43,128328,US Air Force Academy,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for US Air Force Academy did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,geffrey.moy@usafa.edu,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
45,104586,Embry Riddle Aeronautical University-Prescott,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for Embry Riddle Aeronautical University-Prescott did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,madler@erau.edu,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
46,187745,Institute of American Indian Arts,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for Institute of American Indian Arts did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,pmoore@iaia.edu,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
47,187596,Navajo Technical University,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for Navajo Technical University did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
48,188030,New Mexico State University,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for New Mexico State University did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,ziaboulder@gmail.com,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
49,105330,Northern Arizona University,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for Northern Arizona University did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,lippertjake2@gmail.com,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
50,105367,Ottawa University-Phoenix,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for Ottawa University-Phoenix did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,kandres@ottawa.edu,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
51,105589,Prescott College,,,researched,(no official site listed in source data),2026-02-25,Initial official-source pass for Prescott College did not yield clear published 2025 cycling team activity evidence.,,,,,,,,,unknown,,cycling@prescott.edu,ChatGPT-thinking-batch3,"Conservative placeholder after first-pass review; requires deeper targeted follow-up for team pages, race schedules, and results."
52,104179,University of Arizona,,,researched,https://rec.arizona.edu/sports/club-sports/cycling; https://uacycling.com/,2026-01-15,U of A Campus Recreation lists Cycling Club and team site posts Spring 2026 kickoff with 2025 Road Nationals recap.,road mountain bike bmx cyclocross track,yes,yes,,,,,yes,active,,uacyclingclub@gmail.com,ChatGPT-thinking-batch3,Online sources indicate ongoing competitive club operations spanning 2025 season.
53,187985,University of New Mexico,,,researched,https://cycling.unm.edu/; https://cycling.unm.edu/about.html,2026-02-25,UNM cycling club site exists but visible updates are dated and no clear 2025 race/schedule records are shown.,road mountain cyclocross track bmx,yes,yes,,,,,yes,unknown,,tnelson27@unm.edu,ChatGPT-thinking-batch3,Needs newer official evidence to elevate status to active.
54,197984,Belmont Abbey College,,,researched,https://abbeyathletics.com/news/2025/3/25/womens-cycling-national-champion-fedewa-wins-usa-cycling-bmx-title.aspx; https://abbeyathletics.com/sports/cycling/schedule/2025-26,2025-03-25,Belmont Abbey won a 2025 USA Cycling BMX individual national title and publishes 2025-26 cycling schedule.,bmx track mountain bike,,yes,,,,,,active,,derekdalzell@bac.edu,ChatGPT-thinking-batch3,Strong 2025 athletics evidence from official Abbey athletics site.
