school_id,nces_unitid,school_name,school_website,cycling_website,research_status,evidence_url,evidence_date,evidence_snippet,discipline_evidence_text,road,mtb_xc,mtb_st,mtb_enduro,mtb_downhill,mtb_slalom,cyclocross,cycling_program_status,head_coach,contact_email,researcher,notes
87,100706,University of Alabama-Huntsville,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for University of Alabama-Huntsville.,,,,,,,,,unknown,,slm0044@uah.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
88,132903,University of Central Florida,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for University of Central Florida.,,,,,,,,,unknown,,Carlee.hemmerlein@gmail.com,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
89,134130,University of Florida,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for University of Florida.,,,,,,,,,unknown,,jbroska@ufsa.ufl.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
90,139959,University of Georgia,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for University of Georgia.,,,,,,,,,unknown,,clubcyclingatUGA@gmail.com,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
91,247737,University of Mississippi,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for University of Mississippi.,,,,,,,,,unknown,,ptdawkin@go.olemiss.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
92,482699,University of North Georgia,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for University of North Georgia.,,,,,,,,,unknown,,ungdahsportclubs@gmail.com,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
93,451149,University of South Florida,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for University of South Florida.,,,,,,,,,unknown,,usfcycling2@gmail.com,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
94,200004,Western Carolina University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Western Carolina University.,,,,,,,,,unknown,,mbirch@email.wcu.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
95,177968,Lindenwood University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Lindenwood University.,,,,,,,,,unknown,,jcarter@lindenwood.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
96,239080,Marian University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Marian University.,,,,,,,,,unknown,,dpeterson@marian.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
97,150136,Ball State University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Ball State University.,,,,,,,,,unknown,,cycling@bsu.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
98,154800,Butler University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Butler University.,,,,,,,,,unknown,,hhuelsma@butler.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
99,169080,Calvin College,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Calvin College.,,,,,,,,,unknown,,djh38@students.calvin.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
100,201645,Case Western Reserve University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Case Western Reserve University.,,,,,,,,,unknown,,clubsports@case.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
101,144740,DePaul University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for DePaul University.,,,,,,,,,unknown,,depaulcycling@gmail.com,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
102,150400,DePauw University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for DePauw University.,,,,,,,,,unknown,,kmenzel@depauw.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
103,170286,Hillsdale College,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Hillsdale College.,,,,,,,,,unknown,,lpeirce@hillsdale.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
104,151351,Indiana University-Bloomington,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Indiana University-Bloomington.,,,,,,,,,unknown,,zasteven@iu.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
105,239017,Lawrence University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Lawrence University.,,,,,,,,,unknown,,erinbuensli@lawerence.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
106,204024,Miami University-Oxford,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Miami University-Oxford.,,,,,,,,,unknown,,madurorr@miamioh.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
107,171155,Michigan State University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Michigan State University.,,,,,,,,,unknown,,msuspartancycling@gmail.com,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
108,171128,Michigan Technological University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Michigan Technological University.,,,,,,,,,unknown,,asdyke@mtu.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
109,178411,Missouri University of Science and Technology,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Missouri University of Science and Technology.,,,,,,,,,unknown,,,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
110,147679,North Park University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for North Park University.,,,,,,,,,unknown,,abolotin21@gmail.com,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
111,171456,Northern Michigan University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Northern Michigan University.,,,,,,,,,unknown,,rort@nmu.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
112,260992,Northwestern University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Northwestern University.,,,,,,,,,unknown,,nucycling@gmail.com,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
113,204501,Oberlin College,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Oberlin College.,,,,,,,,,unknown,,eschnell@oberlin.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
114,204796,Ohio State University,,,researched,,2026-02-25,Final one-pass completion: no clear published 2025 cycling team activity evidence captured for Ohio State University.,,,,,,,,,unknown,,plourde.5@osu.edu,ChatGPT-thinking-final-pass,Completion batch placeholder. Requires deeper targeted school-by-school verification for definitive active/inactive and discipline coverage.
